#EventID|Time|Latitude|Longitude|Depth/Km|Author|Catalog|Contributor|ContributorID|MagType|Magnitude|MagAuthor|EventLocationName|EventType
25848281|2020-12-27T06:59:06.630000|40.825|14.1405|1.0|SURVEY-INGV-OV#WinPick||||Md|1.1|--|5 km SE Pozzuoli (NA)|earthquake
25849911|2020-12-27T23:15:00.509000|40.809833|14.115|2.3|SURVEY-INGV-OV#WinPick||||Md|1.3|--|Ischia e costa Flegrea (Napoli)|earthquake
25853021|2020-12-28T08:09:42.770000|40.8282|14.1503|2.2|BULLETIN-INGV||||Md|2.3|--|Campi Flegrei|earthquake
25883901|2021-01-01T02:13:58.519000|40.827333|14.133667|1.6|SURVEY-INGV-OV#WinPick||||Md|1.0|--|4 km SE Pozzuoli (NA)|earthquake
25883961|2021-01-01T02:40:31.589000|40.824667|14.133|1.4|SURVEY-INGV-OV#WinPick||||Md|1.0|--|4 km SE Pozzuoli (NA)|earthquake
25889061|2021-01-02T09:00:07.920000|40.827667|14.1325|2.0|SURVEY-INGV-OV#WinPick||||Md|1.1|--|4 km SE Pozzuoli (NA)|earthquake
25889151|2021-01-02T09:18:10.190000|40.825333|14.130667|1.6|SURVEY-INGV-OV#WinPick||||Md|1.6|--|4 km SE Pozzuoli (NA)|earthquake
25902251|2021-01-06T14:47:17.849000|40.826667|14.136167|1.4|SURVEY-INGV-OV#WinPick||||Md|1.2|--|4 km SE Pozzuoli (NA)|earthquake
25915251|2021-01-10T23:54:51.320000|40.8353|14.1392|2.3|BULLETIN-INGV||||Md|1.3|--|Campi Flegrei|earthquake
25916061|2021-01-11T10:24:10.900000|40.831333|14.151667|1.1|SURVEY-INGV-OV#WinPick||||Md|1.5|--|5 km S Quarto (NA)|earthquake
25918851|2021-01-12T10:26:35.730000|40.825167|14.120333|0.9|SURVEY-INGV-OV#WinPick||||Md|1.0|--|3 km SE Pozzuoli (NA)|earthquake
25919071|2021-01-12T11:29:18.089000|40.822833|14.122333|1.0|SURVEY-INGV-OV#WinPick||||Md|1.2|--|4 km SE Pozzuoli (NA)|earthquake
25949221|2021-01-20T02:58:27.109000|40.826167|14.1225|2.0|SURVEY-INGV-OV#WinPick||||Md|1.1|--|Campi Flegrei|earthquake
26044201|2021-02-07T03:13:45.170000|40.8118|14.1153|3.6|BULLETIN-INGV||||Md|1.9|--|Campi Flegrei|earthquake
